"state","state.no","state.name"
"AL",1,"alabama"
"AK",2,"alaska"
"AZ",4,"arizona"
"AR",5,"arkansas"
"CA",6,"california"
"CO",8,"colorado"
"CT",9,"connecticut"
"DE",10,"delaware"
"DC",11,"district of columbia"
"FL",12,"florida"
"GA",13,"georgia"
"HI",15,"hawaii"
"ID",16,"idaho"
"IL",17,"illinois"
"IN",18,"indiana"
"IA",19,"iowa"
"KS",20,"kansas"
"KY",21,"kentucky"
"LA",22,"louisiana"
"ME",23,"maine"
"MD",24,"maryland"
"MA",25,"massachusetts"
"MI",26,"michigan"
"MN",27,"minnesota"
"MS",28,"mississippi"
"MO",29,"missouri"
"MT",30,"montana"
"NE",31,"nebraska"
"NV",32,"nevada"
"NH",33,"new hampshire"
"NJ",34,"new jersey"
"NM",35,"new mexico"
"NY",36,"new york"
"NC",37,"north carolina"
"ND",38,"north dakota"
"OH",39,"ohio"
"OK",40,"oklahoma"
"OR",41,"oregon"
"PA",42,"pennsylvania"
"RI",44,"rhode island"
"SC",45,"south carolina"
"SD",46,"south dakota"
"TN",47,"tennessee"
"TX",48,"texas"
"UT",49,"utah"
"VT",50,"vermont"
"VA",51,"virginia"
"WA",53,"washington"
"WV",54,"west virginia"
"WI",55,"wisconsin"
"WY",56,"wyoming"
